category_id,category_name
MLA442396,Bombas
MLA407817,Caravanas
MLA429647,Carros
MLA446799,Cercos Eléctricos y Accesorios
MLA430205,Colmenas
MLA407818,Pinzas para Caravanas
MLA430207,Planos y Proyectos
MLA417109,Silo Bolsas
MLA404090,Silos
MLA455566,Tanques
MLA442394,Tranqueras
MLA454449,Otros
MLA442408,Fertilizantes
MLA442414,Hidroponía
MLA442409,Insecticidas y Herbicidas
MLA442407,Semillas para Agricultura
MLA442406,Otros
MLA442345,Alimentación y Suplementos
MLA414087,Bebederos Automáticos
MLA404094,Comederos
MLA407821,Otros
MLA430506,Clasificadoras de Vegetales
MLA416949,Dosificadoras de Polvo y Grano
MLA430502,Embolsadoras de Forrajes
MLA414022,Extractores de Miel
MLA404091,Fumigadoras
MLA442420,Hidrolavadoras
MLA190896,Máquinas Ordeñadoras
MLA404093,Moledoras de Granos
MLA433021,Molinos Pulverizadores
MLA430958,Plantas de Alimentos
MLA446791,Precisión
MLA416851,Prensas Enfardadoras
MLA430443,Rastras de Levante
MLA404089,Sembradoras
MLA442419,Soldadoras
MLA431060,Subsoladores
MLA430316,Talladoras de Engranaje
MLA429616,Tostadoras de Café
MLA454716,Tractores Cortacésped
MLA417283,Otras
MLA442352,Para Cosechadoras
MLA442354,Para Pulverizadoras
MLA442355,Para Sembradoras
MLA442356,Para Tractores
MLA442387,Otros
MLA194310,Aceites y Vinagres
MLA433480,Algas Nori
MLA194316,Alimentos Instantáneos
MLA194308,"Arroz, Legumbres y Semillas"
MLA194315,Azúcar y Endulzantes
MLA430203,Bolsas para Cocinar
MLA429235,Canastas Básicas
MLA194313,Cereales y Barras
MLA194317,Dulces y Chocolates
MLA40992,Encurtidos y Conservas
MLA389314,Galletitas
MLA389313,Harina
MLA1427,Infusiones
MLA417268,Levaduras
MLA416528,Lúpulo
MLA1426,"Mermeladas, Dulces y Miel"
MLA412349,Pan Rallado
MLA455522,Panadería
MLA412073,Pastas
MLA410854,Repostería y Pastelería
MLA194318,Saborizantes y Jarabes
MLA194311,Salsas y Condimentos
MLA194320,Snacks
MLA416649,Tapas de Tartas y Empanadas
MLA416954,Tripas para Embutido
MLA1429,Otros
MLA194289,Aguas
MLA417030,Bebidas Alcohólicas Preparadas
MLA403668,Bebidas Aperitivos
MLA41010,Bebidas Blancas y Licores
MLA73714,Bebidas Energizantes
MLA416869,Bebidas Isotónicas
MLA403656,Cervezas
MLA403659,Gaseosas
MLA194298,Jugos
MLA194523,Vinos y Espumantes
MLA403667,Otras Bebidas
MLA410885,Bandejas Dulces y Saladas
MLA40987,Desayunos y Meriendas
MLA410886,Empanadas
MLA410894,Helados y Postres
MLA416529,Sandwiches de Miga
MLA114010,Tablas de Picadas
MLA433757,Tartas Saladas
MLA434369,Tortas y Tartas Dulces
MLA410887,Otros
MLA455472,Hamburguesas
MLA455471,Pizzas
MLA455470,Otras Comidas
MLA455296,Frutas Congeladas
MLA455580,Hamburguesas
MLA455294,Helados y Postres
MLA455581,Mariscos
MLA455585,Milanesas y Medallones
MLA455565,Papas Congeladas
MLA455428,Pizzas Congeladas
MLA455564,Snacks Congelados
MLA455295,Vegetales Congelados
MLA455297,Otros
MLA410877,Achuras
MLA413963,Carnes
MLA410879,Fiambres y Embutidos
MLA455429,Frutas y Verduras
MLA417270,Huevos
MLA455419,Lácteos
MLA418070,Otros
MLA1103,Alimentos
MLA429115,Anillos
MLA1101,Aves
MLA412638,Bebederos y Comederos
MLA434841,Cetrería
MLA429112,Huevos Fértiles
MLA34088,Incubadoras
MLA1102,Jaulas
MLA418087,Juguetes
MLA434840,Nidos
MLA1104,Otros
MLA32258,Artículos para Equitación
MLA32247,Caballos y Yeguas
MLA429300,Carretas
MLA412639,Fardos
MLA435033,Higiene y Cuidado
MLA429105,Suplementos para Caballos
MLA1125,Otros
MLA81618,Conejos
MLA6559,Jaulas
MLA81657,Otros
MLA1088,Accesorios
MLA434779,"Alimento, Premios y Suplemento"
MLA434788,Camas y Cuchas
MLA81636,Comederos y Bebederos
MLA1086,Estética e Higiene
MLA1082,Gatos
MLA1084,Juguetes
MLA434781,Puertas y Rampas
MLA434784,Viaje y Paseo
MLA1090,Otros
MLA429328,Cucarachas
MLA429314,Escarabajos
MLA429313,Grillos
MLA429312,Otros
MLA1094,Alimentos
MLA1092,Peceras y Accesorios
MLA1096,Peces
MLA1098,Otros
MLA32261,Adiestramiento
MLA434760,"Alimento, Premios y Suplemento"
MLA434771,Bebederos y Comederos
MLA11060,Camas y Cuchas
MLA1076,Estética e Higiene
MLA7107,Indumentaria y Accesorios
MLA1074,Juguetes
MLA417323,Perros de Cruza
MLA1073,Perros de Raza
MLA369570,Perros en Adopción
MLA434762,"Puertas, Rampas y Corrales"
MLA429133,Sillas de Ruedas
MLA434764,Viaje y Paseo
MLA1078,Otros
MLA406033,Alimentos
MLA434852,Terrarios y Tortugueros
MLA406031,Otros
MLA434848,Alimentos y Vitaminas
MLA412658,Bebederos y Comederos
MLA431945,Casas
MLA412735,Jaulas
MLA412737,Juguetes
MLA412656,Roedores
MLA437349,Shampoos
MLA412640,Sustratos
MLA412657,Otros
MLA4689,Arañas
MLA1373,Artículos Marítimos Antiguos
MLA6652,Audio Antiguo
MLA10081,Balanzas Antiguas
MLA392531,Campanas
MLA433118,Cinturones de Lucha
MLA6661,Electrodomésticos Antiguos
MLA1376,Instrumentos Musicales
MLA6098,Latas y Botellas
MLA31738,Llaveros
MLA10249,Llaves y Candados Antiguos
MLA417836,Máquinas de Escribir e Insumos
MLA429612,Medalleros
MLA416694,Navajas y Cuchillos Antiguos
MLA11785,Percheros
MLA430308,Perfumeros
MLA413494,Petacas Licoreras
MLA429166,Proyectores Antiguos
MLA10272,Registradoras Antiguas
MLA47385,Relicarios
MLA430305,Retablos
MLA10236,Sifones Antiguos
MLA11794,Sillas
MLA34242,Sulkys y Carros Antiguos
MLA4272,Tarjetas Coleccionables
MLA413011,Tazos
MLA6662,Teléfonos Antiguos
MLA413508,Trofeos
MLA439433,Otros
MLA1862,Estampillas
MLA31722,Postales
MLA1864,Sellos
MLA2434,Sobres
MLA1830,Tarjetas Telefónicas
MLA1869,Otros
MLA10274,Espadas
MLA434385,Fotos
MLA2296,Indumentaria Militar
MLA31791,Láminas
MLA2295,Medallas
MLA407889,Picanas
MLA44094,Platos
MLA433425,Vainas para Cuchillos
MLA2297,Otros
MLA441114,Álbumes para Numismática
MLA1949,Billetes
MLA1950,Fichas y Cospeles
MLA6103,Medallas
MLA2061,Monedas
MLA1948,Otros
MLA436797,Adornos y Objetos para Pintar
MLA432710,Cuadros de Autor
MLA434742,Vinilos para Frasco y Botella
MLA1371,Otros
MLA436796,Moldes
MLA432245,Pabilos para Velas
MLA432237,Parafina
MLA436795,Otros
MLA69564,Abrochadoras
MLA40513,Agendas y Diarios Íntimos
MLA414969,Almohadillas para Sellos
MLA34320,Artística y Pintura
MLA414107,Banditas Elásticas
MLA419401,Brillantinas
MLA413471,Broches
MLA1060,Calculadoras y Agendas
MLA105385,Cartucheras
MLA413790,Chinches
MLA105388,Escritura
MLA417668,Estecas
MLA412616,Ganchos y Clips
MLA105393,Geometría
MLA412652,Globos Terráqueos
MLA416553,Kits de Dibujo Técnico
MLA414164,Kits Escolares
MLA416572,Lapiceros
MLA455520,Libros para Colorear
MLA388338,Organizadores de Escritorio
MLA2136,Papelería
MLA105389,Pegamentos y Cortantes
MLA412513,Perforadoras
MLA48868,Pizarras y Pizarrones
MLA417097,Planchas de Corcho
MLA417667,Porcelana Fría
MLA69556,Sellos
MLA432181,Separadores de Libros
MLA429699,Tintas para Sellos
MLA399257,Tinteros
MLA5980,Otros
MLA414202,Abrojos
MLA95416,Agujas
MLA95400,Anilinas
MLA436810,Artículos para Bijouterie
MLA416582,Barras de Silicona
MLA416874,Bolsas de Silicagel
MLA429159,Calzadores de Medias
MLA95415,Cintas
MLA414115,Cintas Reflectivas
MLA95417,Cordones
MLA436814,Costura y Bordado
MLA95402,Elásticos
MLA400982,Etiquetas de Tela
